gcm,ssp,period,mean_suit,pct_high
Current,baseline,1970-2000,0.45889178421145427,19.96861645299145
ACCESS-CM2,ssp245,2041-2060,0.567726499861056,44.53957792473462
ACCESS-CM2,ssp245,2061-2080,0.553349949862105,35.89350670604251
ACCESS-CM2,ssp585,2041-2060,0.5678238351259631,41.40637204216289
ACCESS-CM2,ssp585,2061-2080,0.5234544299572216,28.102149057880993
EC-Earth3-Veg,ssp245,2041-2060,0.6203965096947561,65.32124286808846
EC-Earth3-Veg,ssp245,2061-2080,0.6268540392090188,62.49674554232283
EC-Earth3-Veg,ssp585,2041-2060,0.6088835468986326,58.10192589506885
EC-Earth3-Veg,ssp585,2061-2080,0.5937477211059226,47.797011106069284
CMCC-ESM2,ssp245,2041-2060,0.6386147722728603,70.7344288147823
CMCC-ESM2,ssp245,2061-2080,0.6412025826139484,69.31213782535278
CMCC-ESM2,ssp585,2041-2060,0.6339455433189111,68.277406253022
CMCC-ESM2,ssp585,2061-2080,0.6797562462828844,78.13525154168309
