algorithm,fold,auc,boyce
MaxEnt,1,0.7185085020654659,0.9878787878787878
MaxEnt,2,0.7087408887999419,0.9878787878787878
MaxEnt,3,0.7270120962292203,0.7818181818181817
MaxEnt,4,0.6594343502745623,0.9878787878787878
RF,1,0.6641224479418271,0.9636363636363635
RF,2,0.6387905760627917,0.9878787878787878
RF,3,0.7034244492498987,0.8060606060606059
RF,4,0.5983702947346288,0.9757575757575757
GBM,1,0.6508685394807096,0.9030303030303028
GBM,2,0.5802187398289573,0.9151515151515152
GBM,3,0.6722665225030411,0.8303030303030302
GBM,4,0.6281382936370198,0.9636363636363635
GLM,1,0.7198892262565085,0.9515151515151514
GLM,2,0.7068315007525441,0.9878787878787878
GLM,3,0.7072881470468982,0.9878787878787878
GLM,4,0.6679943368287996,0.9999999999999999
