variable,label,mean_auc_drop,sd_auc_drop
bio_10,T warmest quarter,0.2483881057387735,0.005710384072012666
bio_19,Precip. coldest quarter,0.15555524023157064,0.003927015187221445
bio_18,Precip. warmest quarter,0.14824550938093756,0.0029386270000456645
bio_2,Mean diurnal range,0.11946634093349437,0.0034323016235504136
bio_3,Isothermality,0.11927434008912527,0.0022969412789731465
bio_11,T coldest quarter,0.11742262620608283,0.0028055663890232062
bio_8,T wettest quarter,0.06587321014135636,0.001882529622034847
soil_ph,Soil pH,0.044504431511546594,0.0013516113810359614
bio_15,Precip. seasonality,0.04138316663251942,0.000848126756303118
slope,Terrain slope,0.023609385568772033,0.0004071370587669017
